%
%
% Run:      Table:COMPGRID          SWAN version:41.20
%
%       Dist          Depth         Hsig          Tm01          FSpr          Dir           Dspr          Qb            Dissip        Setup         Ubot          TmBot    
%       [m]           [m]           [m]           [sec]         [ ]           [degr]        [degr]        [ ]           [m2/s]        [m]           [m/s]         [sec]    
%
           0.        8.0000       1.00013       10.0000      0.822475       270.000        2.5590      0.000000     0.0000000      0.000000      0.349026       10.2074 
         190.        7.9048       0.99719       10.0003      0.822470       270.000        2.5590      0.000000     0.0000243      0.000041      0.350603       10.2069 
         381.        7.8096       0.99421       10.0005      0.822464       270.000        2.5590      0.000000     0.0000245      0.000084      0.352197       10.2065 
         571.        7.7144       0.99119       10.0008      0.822459       270.000        2.5592      0.000000     0.0000247      0.000128      0.353805       10.2061 
         762.        7.6192       0.98811       10.0010      0.822454       270.000        2.5592      0.000000     0.0000249      0.000174      0.355424       10.2057 
         952.        7.5240       0.98498       10.0012      0.822449       270.000        2.5592      0.000000     0.0000252      0.000222      0.357054       10.2052 
        1143.        7.4288       0.98180       10.0015      0.822444       270.000        2.5592      0.000000     0.0000254      0.000271      0.358696       10.2048 
        1333.        7.3337       0.97856       10.0017      0.822439       270.000        2.5590      0.000000     0.0000256      0.000322      0.360349       10.2044 
        1524.        7.2385       0.97526       10.0020      0.822434       270.000        2.5589      0.000000     0.0000259      0.000375      0.362014       10.2040 
        1714.        7.1433       0.97190       10.0022      0.822429       270.000        2.5589      0.000000     0.0000261      0.000430      0.363689       10.2035 
        1905.        7.0481       0.96848       10.0025      0.822424       270.000        2.5589      0.000000     0.0000264      0.000488      0.365375       10.2031 
        2095.        6.9529       0.96499       10.0027      0.822419       270.000        2.5589      0.000000     0.0000266      0.000547      0.367072       10.2027 
        2286.        6.8578       0.96143       10.0030      0.822414       270.000        2.5589      0.000000     0.0000269      0.000609      0.368780       10.2023 
        2476.        6.7626       0.95781       10.0032      0.822409       270.000        2.5586      0.000000     0.0000271      0.000674      0.370498       10.2019 
        2667.        6.6674       0.95411       10.0035      0.822405       270.000        2.5586      0.000000     0.0000274      0.000741      0.372227       10.2015 
        2857.        6.5722       0.95034       10.0037      0.822400       270.000        2.5586      0.000000     0.0000276      0.000810      0.373966       10.2011 
        3048.        6.4771       0.94649       10.0039      0.822395       270.000        2.5589      0.000000     0.0000279      0.000883      0.375714       10.2007 
        3238.        6.3819       0.94256       10.0042      0.822391       270.000        2.5586      0.000000     0.0000281      0.000958      0.377472       10.2003 
        3429.        6.2868       0.93854       10.0044      0.822386       270.000        2.5586      0.000000     0.0000284      0.001037      0.379239       10.1999 
        3619.        6.1916       0.93445       10.0047      0.822381       270.000        2.5586      0.000000     0.0000287      0.001118      0.381015       10.1994 
        3810.        6.0964       0.93026       10.0049      0.822377       270.000        2.5586      0.000000     0.0000289      0.001204      0.382799       10.1990 
        4000.        6.0013       0.92598       10.0051      0.822373       270.000        2.5583      0.000000     0.0000292      0.001292      0.384591       10.1986 
        4190.        5.9061       0.92160       10.0054      0.822368       270.000        2.5585      0.000000     0.0000295      0.001385      0.386390       10.1982 
        4381.        5.8110       0.91713       10.0056      0.822364       270.000        2.5583      0.000000     0.0000298      0.001481      0.388196       10.1978 
        4571.        5.7159       0.91255       10.0058      0.822359       270.000        2.5583      0.000000     0.0000300      0.001582      0.390008       10.1974 
        4762.        5.6207       0.90786       10.0061      0.822355       270.000        2.5585      0.000000     0.0000303      0.001687      0.391826       10.1971 
        4952.        5.5256       0.90306       10.0063      0.822351       270.000        2.5583      0.000000     0.0000306      0.001797      0.393648       10.1967 
        5143.        5.4305       0.89815       10.0065      0.822346       270.000        2.5582      0.000000     0.0000309      0.001911      0.395473       10.1963 
        5333.        5.3354       0.89311       10.0068      0.822342       270.000        2.5582      0.000000     0.0000312      0.002031      0.397301       10.1959 
        5524.        5.2403       0.88795       10.0070      0.822338       270.000        2.5583      0.000000     0.0000315      0.002156      0.399130       10.1955 
        5714.        5.1451       0.88266       10.0072      0.822334       270.000        2.5581      0.000000     0.0000317      0.002287      0.400959       10.1951 
        5905.        5.0500       0.87723       10.0075      0.822330       270.000        2.5581      0.000000     0.0000320      0.002424      0.402786       10.1947 
        6095.        4.9549       0.87166       10.0077      0.822325       270.000        2.5578      0.000000     0.0000323      0.002567      0.404611       10.1943 
        6286.        4.8599       0.86594       10.0079      0.822321       270.000        2.5581      0.000000     0.0000326      0.002717      0.406431       10.1939 
        6476.        4.7648       0.86007       10.0081      0.822317       270.000        2.5580      0.000000     0.0000329      0.002874      0.408245       10.1935 
        6667.        4.6697       0.85403       10.0083      0.822314       270.000        2.5579      0.000000     0.0000332      0.003039      0.410050       10.1931 
        6857.        4.5746       0.84782       10.0086      0.822310       270.000        2.5578      0.000000     0.0000335      0.003212      0.411844       10.1928 
        7048.        4.4796       0.84144       10.0088      0.822306       270.000        2.5577      0.000000     0.0000338      0.003393      0.413624       10.1924 
        7238.        4.3845       0.83487       10.0090      0.822302       270.000        2.5575      0.000000     0.0000341      0.003583      0.415388       10.1920 
        7429.        4.2895       0.82810       10.0092      0.822298       270.000        2.5577      0.000000     0.0000344      0.003783      0.417132       10.1916 
        7619.        4.1945       0.82114       10.0094      0.822294       270.000        2.5575      0.000000     0.0000346      0.003994      0.418853       10.1912 
        7810.        4.0995       0.81396       10.0096      0.822290       270.000        2.5576      0.000000     0.0000349      0.004215      0.420547       10.1908 
        8000.        4.0044       0.80655       10.0098      0.822286       270.000        2.5574      0.000000     0.0000352      0.004447      0.422209       10.1905 
        8190.        3.9095       0.79891       10.0101      0.822283       270.000        2.5575      0.000000     0.0000355      0.004692      0.423834       10.1901 
        8381.        3.8145       0.79102       10.0103      0.822279       270.000        2.5574      0.000000     0.0000357      0.004951      0.425418       10.1897 
        8571.        3.7195       0.78288       10.0105      0.822275       270.000        2.5573      0.000000     0.0000360      0.005223      0.426953       10.1893 
        8762.        3.6246       0.77445       10.0107      0.822272       270.000        2.5571      0.000000     0.0000362      0.005510      0.428434       10.1889 
        8952.        3.5296       0.76574       10.0109      0.822268       270.000        2.5571      0.000000     0.0000365      0.005814      0.429853       10.1886 
        9143.        3.4347       0.75673       10.0111      0.822265       270.000        2.5570      0.000000     0.0000367      0.006134      0.431200       10.1882 
        9333.        3.3398       0.74739       10.0113      0.822261       270.000        2.5568      0.000000     0.0000369      0.006474      0.432467       10.1878 
        9524.        3.2449       0.73771       10.0114      0.822257       270.000        2.5568      0.000000     0.0000371      0.006833      0.433643       10.1874 
        9714.        3.1501       0.72768       10.0116      0.822254       270.000        2.5564      0.000000     0.0000373      0.007213      0.434716       10.1870 
        9905.        3.0552       0.71726       10.0118      0.822250       270.000        2.5568      0.000000     0.0000375      0.007616      0.435673       10.1867 
       10095.        2.9604       0.70644       10.0120      0.822247       270.000        2.5563      0.000000     0.0000376      0.008044      0.436498       10.1863 
       10286.        2.8656       0.69519       10.0122      0.822244       270.000        2.5564      0.000000     0.0000377      0.008498      0.437174       10.1859 
       10476.        2.7709       0.68349       10.0124      0.822241       270.000        2.5561      0.000000     0.0000378      0.008982      0.437681       10.1855 
       10667.        2.6762       0.67130       10.0125      0.822237       270.000        2.5560      0.000000     0.0000379      0.009495      0.437998       10.1851 
       10857.        2.5815       0.65860       10.0127      0.822234       270.000        2.5561      0.000000     0.0000379      0.010043      0.438099       10.1847 
       11048.        2.4868       0.64535       10.0129      0.822231       270.000        2.5555      0.000000     0.0000379      0.010626      0.437956       10.1844 
       11238.        2.3922       0.63152       10.0130      0.822228       270.000        2.5555      0.000000     0.0000378      0.011249      0.437536       10.1840 
       11429.        2.2976       0.61706       10.0132      0.822225       270.000        2.5555      0.000000     0.0000377      0.011913      0.436800       10.1836 
       11619.        2.2031       0.60193       10.0134      0.822223       270.000        2.5552      0.000000     0.0000375      0.012624      0.435707       10.1832 
       11810.        2.1086       0.58608       10.0135      0.822220       270.000        2.5549      0.000000     0.0000372      0.013385      0.434205       10.1828 
